Region,District,Station,Date,AQI,PM10,PM2_5,NO2,SO2,Calculated_AQI,Data_Quality_Tier
Jammu,Jammu,Jammu PDD Power House near High Court Janipur 1071,2025-08-01,69.0,69.0,28.0,16.0,1.0,69.0,Tier_1_Gold
Jammu,Jammu,Jammu PDD Power House near High Court Janipur 1071,2025-09-01,71.0,71.0,4.0,17.0,2.0,71.0,Tier_1_Gold
Jammu,Jammu,Jammu PDD Power House near High Court Janipur 1071,2025-10-01,104.0,104.0,37.0,23.0,3.0,103.0,Tier_1_Gold
Jammu,Jammu,Jammu PDD Power House near High Court Janipur 1071,2025-11-01,109.0,109.0,43.78277777777777,28.0,3.0,106.0,Tier_1_Gold
Jammu,Jammu,Jammu PDD Power House near High Court Janipur 1071,2025-12-01,129.0,129.0,47.17166666666668,34.0,4.0,120.0,Tier_1_Gold
Jammu,Jammu,Jammu PDD Power House near High Court Janipur 1071,2026-01-01,124.0,124.0,20.0,35.0,3.0,116.0,Tier_1_Gold
Jammu,Jammu,Jammu PDD Power House near High Court Janipur 1071,2026-02-01,112.0,112.0,71.0,31.0,3.0,135.0,Tier_1_Gold
Jammu,Jammu,Jammu PDD Power House near High Court Janipur 1071,2026-03-01,110.0,110.0,57.0,28.0,2.0,107.0,Tier_1_Gold
Jammu,Jammu,Jammu Vikram Chowk Forest Information Center 1072,2022-01-01,67.0,67.0,18.0,21.0,3.0,67.0,Tier_1_Gold
Jammu,Jammu,Jammu Vikram Chowk Forest Information Center 1072,2022-02-01,343.0,343.0,75.0,34.0,3.0,293.0,Tier_1_Gold
Jammu,Jammu,Jammu Vikram Chowk Forest Information Center 1072,2022-03-01,448.0,448.0,85.0,39.0,7.0,411.0,Tier_1_Gold
Jammu,Jammu,Jammu Vikram Chowk Forest Information Center 1072,2022-04-01,357.4600000000001,359.0400000000001,80.71,35.88666666666666,5.469999999999999,311.0,Tier_1_Gold
Jammu,Jammu,Jammu Vikram Chowk Forest Information Center 1072,2022-05-01,342.84,359.5866666666667,82.64,34.89666666666666,5.476666666666667,312.0,Tier_1_Gold
Jammu,Jammu,Jammu Vikram Chowk Forest Information Center 1072,2022-06-01,272.1566666666667,279.23333333333335,42.153421052631586,28.3195,5.132000000000001,229.0,Tier_1_Gold
Jammu,Jammu,Jammu Vikram Chowk Forest Information Center 1072,2022-07-01,146.5354761904762,145.74264903034927,42.08397660818712,24.038166666666665,3.8112307692307685,131.0,Tier_1_Gold
Jammu,Jammu,Jammu Vikram Chowk Forest Information Center 1072,2022-08-01,203.0,203.0,49.0,26.0,4.0,169.0,Tier_1_Gold
Jammu,Jammu,Jammu Vikram Chowk Forest Information Center 1072,2022-09-01,71.0,70.0,15.0,22.0,3.0,70.0,Tier_1_Gold
Jammu,Jammu,Jammu Vikram Chowk Forest Information Center 1072,2022-10-01,102.0,102.0,46.0,24.0,3.0,102.0,Tier_1_Gold
Jammu,Jammu,Jammu Vikram Chowk Forest Information Center 1072,2022-11-01,126.9532857142857,126.77554746524771,48.0,26.33,3.472434953934954,118.0,Tier_1_Gold
Jammu,Jammu,Jammu Vikram Chowk Forest Information Center 1072,2022-12-01,116.50019958988379,114.9723913630939,58.0,20.396391552891558,3.6629343434343435,110.0,Tier_1_Gold
Jammu,Jammu,Jammu Vikram Chowk Forest Information Center 1072,2023-01-01,107.0,107.0,33.0,18.0,3.0,105.0,Tier_1_Gold
Jammu,Jammu,Jammu Vikram Chowk Forest Information Center 1072,2023-02-01,113.0,113.0,49.0,6.0,3.310672438672438,109.0,Tier_1_Gold
Jammu,Jammu,Jammu Vikram Chowk Forest Information Center 1072,2023-03-01,114.0,114.0,55.0,19.709755411255415,3.9424349539349532,110.0,Tier_1_Gold
Jammu,Jammu,Jammu Vikram Chowk Forest Information Center 1072,2023-04-01,100.0,100.0,40.0,21.0,2.0,100.0,Tier_1_Gold
Jammu,Jammu,Jammu Vikram Chowk Forest Information Center 1072,2023-05-01,81.0,81.0,35.0,16.0,2.0,81.0,Tier_1_Gold
Jammu,Jammu,Jammu Vikram Chowk Forest Information Center 1072,2023-06-01,90.0,90.0,30.0,19.0,3.0,90.0,Tier_1_Gold
Jammu,Jammu,Jammu Vikram Chowk Forest Information Center 1072,2023-07-01,85.0,85.0,37.0,17.0,3.0,85.0,Tier_1_Gold
Jammu,Jammu,Jammu Vikram Chowk Forest Information Center 1072,2023-08-01,76.0,76.0,32.0,20.0,3.0,76.0,Tier_1_Gold
Jammu,Jammu,Jammu Vikram Chowk Forest Information Center 1072,2023-09-01,75.0,75.0,35.0,22.0,3.0,75.0,Tier_1_Gold
Jammu,Jammu,Jammu Vikram Chowk Forest Information Center 1072,2023-10-01,73.42381385281385,68.0,31.0,19.349022588522587,3.0,68.0,Tier_1_Gold
Jammu,Jammu,Jammu Vikram Chowk Forest Information Center 1072,2023-11-01,102.99778012046434,104.0,37.0,18.149915362415367,5.0,103.0,Tier_1_Gold
Jammu,Jammu,Jammu Vikram Chowk Forest Information Center 1072,2023-12-01,103.75565585584005,104.0,39.0,16.345074092574094,3.0239920634920634,103.0,Tier_1_Gold
Jammu,Jammu,Jammu Vikram Chowk Forest Information Center 1072,2024-01-01,98.0,98.0,39.0,18.0,2.0,98.0,Tier_1_Gold
Jammu,Jammu,Jammu Vikram Chowk Forest Information Center 1072,2024-02-01,102.0,102.0,34.0,17.0,3.0,102.0,Tier_1_Gold
Jammu,Jammu,Jammu Vikram Chowk Forest Information Center 1072,2024-03-01,110.0,110.0,38.0,21.0,6.0,107.0,Tier_1_Gold
Jammu,Jammu,Jammu Vikram Chowk Forest Information Center 1072,2024-04-01,95.0,95.0,34.0,13.0,2.0,95.0,Tier_1_Gold
Jammu,Jammu,Jammu Vikram Chowk Forest Information Center 1072,2024-05-01,106.0,106.0,39.0,19.0,4.0,104.0,Tier_1_Gold
Jammu,Jammu,Jammu Vikram Chowk Forest Information Center 1072,2024-06-01,109.0,109.0,37.0,14.0,2.0,106.0,Tier_1_Gold
Jammu,Jammu,Jammu Vikram Chowk Forest Information Center 1072,2024-07-01,99.0,99.0,37.25405395306447,13.0,2.0,99.0,Tier_1_Gold
